,area,distance,bookings,bids,allocated,unallocated,allocation_rate,unallocation_rate,weighted_unallocation_rate,area_type,is_high_booking,is_good_allocation,quadrant
9,Toa Payoh,10.289,1436,1955,1006,430,0.7005571030640668,0.2994428969359332,0.008474409254843225,dropoff,1,0,Dying
10,Punggol/Sengkang,4.068,714,1930,658,56,0.9215686274509803,0.07843137254901966,0.0011036439959795834,dropoff,1,1,Role Models
11,Bedok,11.341,941,1900,800,141,0.8501594048884166,0.14984059511158343,0.0027788179184485918,dropoff,1,1,Role Models
12,Bukit Batok,6.941,973,1892,835,138,0.8581706063720452,0.14182939362795477,0.0027196941329496855,dropoff,1,1,Role Models
13,Pasir Ris,11.676,893,1861,750,143,0.8398656215005599,0.16013437849944012,0.002818233775447863,dropoff,1,1,Role Models
14,Tuas,16.549,1983,1836,1166,817,0.5879979828542612,0.4120020171457388,0.016101377584202124,dropoff,1,0,Dying
15,Jurong West,10.952,1406,1698,954,452,0.6785206258890469,0.32147937411095306,0.008907983681835202,dropoff,1,0,Dying
16,Chua Chu Kang,7.006,665,1449,577,88,0.8676691729323308,0.1323308270676692,0.0017342977079679157,dropoff,0,1,Self-Sustain
17,Ubi,10.008,1024,1389,705,319,0.6884765625,0.3115234375,0.0062868291913836935,dropoff,1,0,Dying
18,Hougang,7.8085,542,961,440,102,0.8118081180811808,0.1881918819188192,0.002010208706962811,dropoff,0,1,Self-Sustain
19,Mandai,7.1465,454,862,376,78,0.8281938325991189,0.17180616740088106,0.0015372184229715616,dropoff,0,1,Self-Sustain
20,Fort Road,8.696,518,847,402,116,0.7760617760617761,0.22393822393822393,0.002286119705957707,dropoff,0,1,Self-Sustain
21,Seletar,8.427,381,782,327,54,0.8582677165354331,0.1417322834645669,0.0010642281389803116,dropoff,0,1,Self-Sustain
22,MacPherson,10.623,599,724,411,188,0.6861435726210351,0.3138564273789649,0.0037050905579314557,dropoff,0,0,Optimize Last
23,NTU,12.082,395,620,302,93,0.7645569620253164,0.23544303797468358,0.001832837350466093,dropoff,0,1,Self-Sustain
24,Marine Parade,10.898,311,454,234,77,0.752411575562701,0.247588424437299,0.001517510494471926,dropoff,0,1,Self-Sustain
25,Sentosa,16.945,396,359,214,182,0.5404040404040404,0.45959595959595956,0.003586842986933643,dropoff,0,0,Optimize Last
26,Clementi,6.9985,374,357,221,153,0.5909090909090909,0.40909090909090906,0.0030153130604442164,dropoff,0,0,Optimize Last
27,Eng Neo,7.708,533,346,255,278,0.47842401500938087,0.5215759849906192,0.005478804122898642,dropoff,0,0,Optimize Last
28,Farrer Road,11.286,315,326,186,129,0.5904761904761905,0.4095238095238095,0.002542322776452967,dropoff,0,0,Optimize Last
29,Diary Farm,8.079,147,240,109,38,0.7414965986394558,0.25850340136054417,0.0007489012829861452,dropoff,0,1,Self-Sustain
30,Lim Chu Kang,14.538,107,139,76,31,0.7102803738317757,0.28971962616822433,0.0006109457834886975,dropoff,0,0,Optimize Last
31,Tampines Road,13.222999999999999,10,18,8,2,0.8,0.19999999999999996,3.94158569992708e-05,dropoff,0,1,Self-Sustain
32,Tengah,13.695,11,14,6,5,0.5454545454545454,0.4545454545454546,9.853964249817703e-05,dropoff,0,0,Optimize Last
